quizGroup type="WordMapping" promptType="English word" responseType="German word" mainSeparator="|" currentPromptNumber="0" isActive="true"
painter|maler|
painting|malerei|
champion|meisters|
are|seid|
responsible|verantwortlichem|
arrest|verhafte|
agree|übereinstimme|
absichere|absichere|
look hard|anstrengst|
apollo|apoll|
eyes shining|augenschein|
influencing|beeinflusse|
would affect|beträfe|
blonde|blond|
performing|darstelle|
dieter|dieter|
own|eigner|
will spare|ersparst|
desirable|erwünscht|
suffered|gelitten|
confessed|geständig|
grant to|gewährst|
hardness|härte|
for years|jahrelang|
comb|kamm|
expert|kenner|
manager|leiter|
support|mauern|
oceans|meeren|
Paris|paris|
rank|rang|
reforms|reformen|
teaching|richtens|
collect|sammeln|
schenkst|schenkst|
sleep|schlaf|
regulations|schriften|
since then|seither|
patrol|streife|
division|teilung|
trends|tenden|
thesis|these|
unfair|ungerecht|
spent|verbracht|
forgot|vergaß|
suspect|vermute|
be content|vorlieb|
sway|waltend|
newspaper|zeitung|
approach sex|angehst|
Asia|asien|
proves|beweist|
incidence|einfall|
iron|eisen|
decree|erlass|
example|exempel|
factor|faktor|
some|gewisser|
summit|gipfel|
derive|leite|
tube|ohre|
real|real|
ring|ring|
romano|romano|
ships|schiffe|
argue|streite|
theory|theorie|
verbreche|verbreche|
variously|verschiedenst|
turn|wenden|
resisted|widerstanden|
tenth|zehntem|
attack|überfall|
roofing|bedachen|
shadowing|beschatte|
jealous|eifersüchtig|
experienced|erfahrene|
fine|feinem|
fish|fischen|
approval|genehmige|
garment|gewand|
harmon|harmon|
hollis|hollis|
had|mußten|
pilgrim|pilgerin|
schöpfst|schöpfst|
soviei|soviei|
Hungary|ungarn|
scary|unheimlich|
embody|verkörpere|
presence|anwesenheit|
training|ausbildung|
on the one hand|einerseits|
healthy|gesund|
cheerful|heitere|
view|sicht|
tracking|verfolgung|
scheduled|angesetzt|
aspect|aspekt|
dissolved|aufgelöst|
triggered|ausgelöst|
creek|bach|
tree|baum|
obstructive|behindernd|
bucher|bucher|
input|eingang|
bear|ertrage|
mountains|gebirg|
spiritual|geistlich|
valid|gültig|
better|günstiger|
here|hierher|
buy|kaufen|
least|kleinste|
circuits|kreise|
teachers|lehrern|
Luxembourg|luxemburg|
nerve|nerv|
temporaries|provisorien|
result|resultat|
slim|schlank|
bad|schlimmes|
studier|studier|
brave|tapferes|
available|verfügbar|
verschärfst|verschärfst|
contract|vertrages|
proposal|vorschlag|
warm|warm|
Destroy|zerstöre|
imagining|einbilde|
styles|stile|
board|vorstand|
analyzed|analysiere|
imposes|auferlege|
famous|berühmtes|
possessed|besessen|
admire|bewundere|
einleite|einleite|
indemnified|entschädige|
deprivation|entziehe|
suffocate|ersticke|
therefore|folglich|
running about|gelaufe|
genome|genoms|
maintained|gepflegt|
rinsed|gespült|
current|jetzige|
tern|lautern|
measure|maß|
sweetening|süßend|
cloth|tuch|
tyranny|tyrannei|
Hungarian|ungarisch|
vereinzelnd|vereinzelnd|
succumb|verfalle|
tender|zart|
go together|zusammengehen|
on flute|überflute|
Jupiter|jupiter|
imitating|nachahmst|
abermalig|abermalig|
Adam|adam|
albrecht|albrecht|
build|aufzubauen|
Strive|bemüh|
decision|beschluß|
drastic|drastisch|
individual booklet|einzelheft|
attain|erlange|
fat|fette|
broken|gerissen|
of time|hinweg|
Reviews|kritiken|
Latin|latein|
matthew|matthew|
recently|neuestem|
quality|quality|
govern|regiere|
decreased|sank|
gradually|schrittweise|
threshold|schwelle|
decrease low|senkst|
spurs|spornt|
incompetent|unfähiges|
especially|zumal|
activate|aktiviere|
pronounced|ausgesprochen|
officer|beamte|
serving|dienend|
eagerly|eifrig|
dreaded|gefürchtet|
spacious|geräumig|
collected|gesammelt|
Prussian|preußische|
difficult|schwie|
player|spielerin|
unhappy|unglücklich|
under deck|unterdeck|
linking|verknüpfe|
renew|verlängere|
devastate|verwüste|
wanderin|wanderin|
willow|willow|
surrender|übergebe|
carry on|übertrage|
attacked|angegriffen|
fanned|angeweht|
antiquity|antike|
receiving|aufnehme|
Bavaria|bayern|
regret|bedauerst|
shall preserve|bewahr|
billie|billie|
einhalte|einhalte|
incision|einschnitt|
enormously|enorm|
make glad|erfreust|
erschwerst|erschwerst|
reply|erwidere|
flee|flieh|
foreign|fremd|
fifty|fünfzig|
transactions|geschäften|
half|halbe|
dealer|händler|
content|inhalt|
buys|kauft|
to know|kennengelernt|
church|kirchlich|
off|los|
gap|lücke|
duty|pflicht|
region|region|
remaining|restlich|
together with|samt|
boiler|sieder|
sitting|sitzt|
voltages|spannungen|
scope|umfang|
our|unseres|
not far from|unweit|
verfeinde|verfeinde|
version|version|
curtain|vorhang|
wine|wein|
go on|weitergehe|
live together|zusammenlebe|
überreichst|überreichst|
together|aneinander|
chin|chin|
meat|fleisch|
marcia|marcia|
each other|untereinander|
tender|zärtlich|
hint|andeutung|
belongest|angehörst|
appropriate|angemessen|
industrious|arbeitsam|
radiating|ausstrahle|
second interview|befragst|
insult|beleidigst|
portrait|bildnis|
Sheets|blätter|
dark|düstere|
misrepresentation|entstelle|
entwende|entwende|
encourage|ermutige|
forum|forum|
matured|gereift|
taste|geschmack|
greet|grüß|
magic|magie|
again|nochmals|
gift|schenk|
student|studierende|
outline|umriss|
by talking|unterrede|
banish|verbanne|
poisoning|vergifte|
feel|verspüre|
linger|verweile|
varied|vielfältig|
posh|vornehm|
further lead|weiterführe|
persuasive|überrede|
pyramid|pyramide|
the extras|statistin|
tom|tom|
alone|alleine|
expanded|ausgebaut|
base|basis|
trimming|besatzes|
territory|biet|
set up|eingerichtet|
element|element|
inherit|erben|
fly|flieg|
forme|forme|
Early|frühe|
findings|funde|
identity|identität|
map|karte|
Come isses|kommisses|
coast|küste|
online|online|
position|position|
president|präsident|
smoke|rauch|
strain|stamm|
covers|umfasse|
subject|untertan|
wake|wecke|
Vienna|wien|
forests|wälder|
walls|wände|
at times|zeitweise|
leave that|überlaß|
removed|abgenommen|
employed|angestellt|
placed|aufgestellt|
auslegst|auslegst|
Secretary of State|außenminister|
sculptor|bildhauer|
average|durchschnitt|
invasive|eingreife|
occurring|eintrete|
electric|elektrisch|
posted|entsandt|
amaze|erstaunst|
amazon|fug|
battle|gefecht|
healed|geheilt|
odors|gerüche|
autumn|herbst|
more prominent|hervorrage|
herein|hierin|
help|hilft|
notes|hinweise|
ignore|ignorierst|
marrow|mark|
martin|martin|
max|max|
normal|normalem|
will pass|passierst|
paul|paul|
maintain|pflegen|
objectively|sachlich|
shoes|schuhe|
should|solle|
tear|träne|
Czech|tscheche|
virtues|tugenden|
about|umher|
miniaturizing|verkleinerns|
annihilate|vernichte|
understanding|verständnis|
forty|vierzig|
pass by|vorübergehe|
while|wahrend|
warn|warnen|
know|weisst|
Zwing|zwing|
alexander|alexanders|
annektiere|annektiere|
intend|beabsichtige|
name|benennen|
mobile|beweglich|
blocking|blockiere|
Bulgaria|bulgarien|
one rush|einteile|
diligence|fleiße|
singed|gesengt|
regroup|gruppiere|
holy|heiliger|
hofe|hofe|
each time|jedesmal|
childish|kindisch|
nothing but|lauter|
taste|schmecke|
impoverishing|verarmst|
condemn|verdammst|
veil|verhülle|
shredders|vernichtern|
accusation|vorwurf|
tent|zelt|
zubereite|zubereite|
revised|überarbeite|
designing|entwerfe|
hogwarts|hogwarts|
frustrates|vereitele|
to gladden|beglücke|
romans|römern|
secular|weltlich|
worthy|würdiger|
Attention|achtung|
American|amerikanisch|
beginnings|anfänge|
display|anzeige|
get up|aufstehe|
Please claim|beanspruche|
reaffirm|bekräftige|
decision|bescheid|
urged|beschwor|
besichtige|besichtige|
immigrant|einwanderer|
encourage|ermuntere|
Gospel|evangeliar|
wet|feucht|
respected|geachtet|
learned|gelehrt|
shiny|glänzendem|
Latin|lateiner|
sacrifice|opferst|
dirty|schmutzig|
victorious|siegreich|
Slavic|slawische|
participated|teilnahm|
getting worse|verschlimmere|
verse|verse|
process|vorgang|
tell fortunes|wahrsagen|
bet|wetten|
returned|wiederkam|
tiny|winzig|
wonder|wunderst|
to accept|anzunehmen|
banns|aufgebot|
selected|ausgewählt|
bedell|bedell|
straining|belastens|
bread|brot|
Federal Council|Bundesrat|
existence|dasein|
honest|ehrlich|
jealousy|eifersucht|
remembered|einfiel|
lonely|einsames|
discharged|entlud|
withdrew|entzog|
filled|gefüllt|
reported|gemeldet|
sent|gesandt|
health|gesundheit|
slope|hang|
home|heimisch|
increase|hung|
islands|inseln|
category|kategorie|
copy|kopie|
FIGHTING!|käm|
brevity|kürze|
local|lokale|
funny|lustig|
material|material|
möglicherem|möglicherem|
officer|offizier|
Philosopher|philosophin|
pot|pott|
psychologically|psychisch|
revolutionary|revolutionär|
mission|sendung|
silver|silber|
theologian|theologe|
daughters|töchter|
versailles|versailler|
versöhnst|versöhnst|
front|vorderem|
regulation|vorschrift|
dedicate|widmest|
cloud|wolke|
root|wurzeln|
read on|überliest|
on the other hand|andererseits|
construction|aufbau|
set up|aufzustellen|
output|ausgang|
aligned|ausgerichtet|
author|autor|
cash|bar|
ask|bittest|
services|dienste|
turn|drehe|
Seize|ergreif|
receives|erhält|
permission|erlaubnis|
wrong|falsch|
found|festgestellt|
secured|gesichert|
decreased|gesunken|
Guns|guns|
handle|handle|
high|hohes|
nations|nationen|
network|netz|
opposition|opposition|
regime|regime|
robe|robe|
roland|roland|
sign|schild|
epidemic|seuche|
avoided|vermied|
presented|vorgetragen|
woh|woh|
time|zeitpunkt|
in favor of|zugunsten|
mostly|zumeist|
abstimme|abstimme|
atmosphere|atmosphäre|
auffordere|auffordere|
excited|aufgeregt|
decisively support|bestärke|
laying stress|betonst|
district|bezirk|
burning|brennendem|
convoke|einberufe|
discards|entledige|
entschulde|entschulde|
progress|fortschritt|
glued|geleimt|
cornice|gesims|
intellektue|intellektue|
constructive|konstruktiv|
lively|lebhaft|
clear|lichten|
horses|pferden|
care|pflege|
schlafes|schlafes|
insignificant|unbedeutend|
inexperienced|unerfahren|
reasonable|vernünftig|
was delaying|verschleppe|
vorrechne|vorrechne|
facial|gesichts|
spoil|verwöhne|
anxious|ängstlich|
Federal Republic of|Bundesrepublik|
reverend|ehrwürden|
cut off|abgeschnitten|
concluding|abschließe|
absent|abwesend|
opened|aufgetan|
aufkomme|aufkomme|
auswirkst|auswirkst|
barbarian|barbar|
farmer|bauer|
will notice|beachtest|
would get|bekäme|
belebst|belebst|
binding|bindung|
burned|brannte|
twice|doppelt|
dreimai|dreimai|
somewhat|einigermaßen|
agreed|einverstanden|
Feeding|einziehe|
nourish|ernährst|
faszinierst|faszinierst|
determine|festzustellen|
france|frankreichs|
warrant|garantierst|
mentally|geistig|
saved|gerettet|
put|gesteckt|
dedicated|gewidmet|
through|hindurch|
interests|interessen|
childhood|kindheit|
complain|klagen|
comments|kommentare|
reading|lektüre|
provide|liefern|
report|melden|
humanity|menschheit|
compassion|mitleid|
legal successor|nachfolgerin|
proofs|nachweise|
imagination|phantasie|
plate|platte|
forge it|prägst|
shoulder|schultern|
sen|sen|
send|senden|
Spanish|spanische|
drink|trinke|
abhor|verabscheust|
hide|verbirg|
of each other|voneinander|
ancestor|vorfahr|
wards|wehrt|
westlb|westlb|
hint|wink|
funny|witzig|
artist|künstlers|
goodwill|wohlwollen|
anzeigst|anzeigst|
arthur|arthur|
Barbarin|barbarin|
bend|beugen|
testify|bezeugst|
Thank you|danke|
compressors|dichtern|
dumbledore|dumbledore|
interfere|einmischen|
smother|erdrücke|
troubled|erschrecket|
raced|gerast|
Pagan|heidnische|
Jewish|jüdisch|
combine|kombiniere|
construct|konstruiere|
loving|liebevolle|
majority|mehrzahl|
appropriate|passende|
direction|regie|
representative|repräsentiere|
played|spielten|
flow for|strömst|
disturb|stören|
Cloths|tücher|
tremendous|ungeheure|
varying|variiere|
behaved|verhielt|
set before|vorgesetzt|
advance|vorstoss|
warned|warnte|
know|weißt|
arbitrarily|willkürlich|
draw|zeichne|
go back|zurückgehe|
talent|begabung|
invisible|unsichtbar|
wife|weibe|
Apart|abgesehen|
active|aktiv|
worker|arbeiter|
builds up|aufbaue|
impossible|ausgeschlossen|
way out|ausweg|
resident|bewohner|
blind|blind|
chaos|chaos|
taken|eingeschlagen|
went out|erlosch|
hostility|feindschaft|
hall|hall|
medieval|mittelalterliche|
side by side|nebeneinander|
Nicholas|nikolaus|
places|plätze|
police|polizei|
snow|schnee|
multiplicity|vielzahl|
who|wen|
wohlst|wohlst|
according to|zufolge|
off|abgesagt|
oh|ach|
solely|alleinig|
anregst|anregst|
straighten up|aufrichte|
bedingst|bedingst|
wide|breit|
burn|brenne|
lady|dame|
in addition|daneben|
banquet for|deckst|
thirty|dreißig|
penetrate|dringen|
inspection|durchsicht|
einweihe|einweihe|
recommended|empfohlen|
ethnics|ethnien|
memory|gedächtnis|
crowned|gekrönt|
successful|gelinge|
gelingst|gelingst|
disturbed|gestört|
think|halte|
harmoniously|harmonisch|
violent|heftiges|
bright|helle|
hinata|hinata|
hinnehme|hinnehme|
internal|innerlich|
any|irgendwelche|
james|james|
concentrate|konzentrat|
copying|kopierst|
medical|medizinisch|
nights|nachte|
parallel|parallel|
Saxony|sachsen|
singing|sang|
describe to|schilderst|
sebastian|sebastian|
Soviet Union|sowjetunion|
span|spanne|
style|stils|
southeast|südosten|
sweet wine|südwein|
topic|themen|
tragedian|tragöde|
downstairs|treppab|
Meet|triff|
circumstance|umstand|
interrupt|unterbreche|
consumed|verbraucht|
worship|verehre|
fell|verfiel|
verschaffst|verschaffst|
promised|versprach|
maim|verstümmele|
repudiate|verwehre|
progress|voran|
preceding|vorangegangen|
chairman|vorsitzende|
soft|weiche|
scent|wittere|
währst|währst|
images|abbilder|
striving|anstrebe|
arrogant|arrogant|
also broken|aufteile|
record|aufzunehmen|
keeping up|beibehalte|
bekriege|bekriege|
useful|brauchbare|
chinese|chinese|
conceivable|denkbar|
by rush|durcheile|
enthüllst|enthüllst|
excuse|entschuldigst|
watch TV|fernsehe|
curse|fluch|
measured|gemessen|
moderate|gemäßigt|
happy|glücklichem|
hinrichte|hinrichte|
hold|hold|
woods|hölzer|
isolated|isoliert|
precious|kostbar|
londo|londo|
mitwirke|mitwirke|
munde|munde|
ENGAGED|nachgehe|
Baltic Sea|Ostsee|
scheduled|planmäßig|
Swedish|schwedische|
weakest|schwächst|
settlement|siedlung|
stiff|steif|
gradually|stufen|
prohibit|untersagen|
subservient|unterwürfig|
distribute|verteilst|
decorate|verzierst|
intend|vorhabe|
truce|waffenstillstand|
effectively|wirkungsvoll|
anfiel|anfiel|
link|glied|
safety|heit|
delouse|lausen|
Macedonia|mazedonien|
sober|nüchtern|
transient|vergänglich|
teeming|wimmele|
Venus|venus|
acknowledge|anerkenne|
started|angefangen|
balanced|ausgeglichen|
exploiting|ausnutze|
operate|bedienen|
Examples|beispiele|
noticeable|bemerkbar|
readily|bereitwillig|
bill|bill|
effectively|effektiv|
impressive|eindrucksvoll|
einschätze|einschätze|
stopped|einstellte|
energetic|energisch|
unleash|entfessele|
remote|fern|
flat|flache|
formal|formale|
burned|gebrannt|
Gelula|gelula|
known|gewußt|
shine|glänze|
glasses|gläser|
gray|graue|
pearl barley|graupe|
ideal|ideale|
kaiserreich|kaiserreich|
candidate|kandidat|
mood|laune|
powerful|leistungsfähig|
Liberal|liberale|
pose|posen|
Romanian|rumäne|
useful|sinnvoll|
Soviet|sowjetisch|
Staros|staros|
breastfeeding|stillens|
Dare|traust|
dream|träumst|
rubble|trümmern|
unpopular|unbeliebt|
united|vereint|
move|verschieben|
related|verwandter|
reservation|vorbehalt|
saw again|wiedersah|
reliable|zuverlässig|
bad|üble|
hierarchy|hierarchie|
thin|dünne|
would classify|einordne|
enlighten|erleuchte|
festive|festlich|
pious|fromm|
dedication|hingabe|
plunder|plündere|
sensual|sinnlich|
bright|strahlend|
intolerable|unerträglich|
amuse|vergnügst|
abwegs|abwegs|
Alps|alpen|
trailer|anhänger|
recognize|anzuerkennen|
ausübst|ausübst|
known|bekannter|
advised|beratene|
component|bestandteil|
messenger|bote|
christoph|christoph|
to current|derzeitigem|
corner|ecke|
English|englisch|
appalled|entsetzt|
go|fahren|
ferdinand|ferdinand|
holiday|ferien|
flying|fliegend|
flight|flug|
spring|frühjahr|
federation|föderation|
subject|gegenstand|
turned|gewandt|
fermented|gärte|
Main article|Hauptartikel|
issue|heft|
helping|helfend|
Hitler|hitler|
keel|kiel|
comedy|komödie|
concrete|konkret|
end of the war|kriegsende|
grief|kummer|
Cologne|köln|
kitchen|küche|
load|last|
military|militärisch|
moderately|mäßig|
close|nahen|
a necessary|notwendigem|
often been|oftmalig|
passing|passiere|
horse|pferdes|
popular|populär|
protests|proteste|
revenge|rache|
shock|schlag|
souls|seelen|
staff|stab|
strike|strike|
sum|summe|
suspicion|verdacht|
ISA|versag|
transform|verwandle|
viktor|viktor|
previous|vorherig|
fathers|väter|
perceived|wahrgenommen|
wärm|wärm|
contemporary|zeitgenössisch|
temporal|zeitlich|
lie back|zurückliege|
raids|überfälle|
take over|übernimm|
taken|übernommen|
poverty|armut|
going out|ausgehst|
blue|blau|
castle|burg|
Denmark|dänemark|
grandson|enkel|
experience|erfahrungen|
murder|ermordung|
opponents of|gegnern|
speed|geschwindigkeit|
have|hab|
competitor|konkurrent|
nunmal|nunmal|
pairs|paare|
parliament|parlament|
press|press|
center of gravity|schwerpunkt|
current|strom|
Handle is|versetz|
use|verwendung|
aims|zielt|
Hercules|herkules|
desire|begierde|
committed|engagiere|
learned|gelehrter|
organic|organisch|
potentially|potenziell|
verleide|verleide|
axis|achse|
suspects|ahnt|
aussuche|aussuche|
aussöhne|aussöhne|
services|diensten|
all the same|einerlei|
invited|eingeladen|
dismayed|entsetze|
permit|erlaube|
finely|feinst|
spring|frühling|
poems|gedichten|
general|generell|
act of violence|gewalttat|
assimilates|gleichstelle|
Hamburg|hamburg|
produced|hervorgebracht|
crownest|krönst|
instructive|lehrreich|
bright|leuchtendem|
lover|liebhaber|
measure|messen|
urging|nötigend|
obvious|offenkundig|
orientierst|orientierst|
servierst|servierst|
fun|spaß|
pocket|tasche|
bottom|tiefstem|
deceptive|trügerisch|
maintained|unterhielt|
underwent|unterlief|
anticipation|vorgefühl|
vorkomme|vorkomme|
Weimar|Weimar|
willing|williges|
in which|worin|
überschwemmst|überschwemmst|
überwachst|überwachst|
Ottoman|osmanische|
paintings|gemälden|
nobility|adel|
aufrechne|aufrechne|
floated|geschwebt|
living situation|lebenslage|
mediocre|mittelmäßig|
magic|zauber|
retiring|abtrete|
arrival|ankunft|
encountered|antraf|
cease|aufhöre|
apart|auseinander|
information|auskunft|
bury|begrab|
advices|belege|
leaf|blatt|
Pfandbriefe|briefen|
David|david|
democrat|demokrat|
breakthrough|durchbruch|
Danish|dänisch|
hurry|eile|
insight|einblick|
burglary|einbruch|
occupy|einnehme|
arrived|eintraf|
erhöbe|erhöbe|
devised|ersann|
the skies|erschaff|
legally|erweise|
some|etliche|
exile|exil|
expansion|expansion|
held|festgehalten|
like you|gefällst|
polished|geschliffen|
craft|handwerk|
helen|helen|
produced|hergestellt|
wedding|hochzeit|
higher|höherer|
identical|identisch|
instruments|instrumente|
wrong|irrt|
John|john|
contact|kontakt|
queen|königin|
loosely|locker|
munich|munich|
new|new|
perspective|perspektive|
private|private|
production|produktion|
regulates|regelt|
Restaurant|restaurant|
richard|richard|
section|schnitt|
sink|senke|
sing|singe|
materials|stoffe|
panel|tafel|
table|tisch|
great|toll|
separates|trennt|
Trochu|trochu|
unbelief|unglaube|
unchanged|unverändert|
contempt|verachtung|
bandaged|verbundenem|
earn|verdien|
negotiate|verhandle|
can|vermag|
hiding place|versteck|
management|verwaltung|
vision|vision|
sea ​​world|weltmeer|
who|wem|
contradiction|widerspruch|
quote|zitat|
zone|zone|
trains|zügen|
public|öffentlich|
specify|angeben|
Clip-on|anliege|
estate|anwesen|
extended|ausgedehnt|
making up|ausmache|
served|bediente|
enclose|beilegen|
Briton|brite|
colorful|bunte|
asleep|entschlief|
gratifying|erfreulich|
devoted|ergebene|
erich|erich|
will achieve|erzielst|
notice|feststelle|
radioed|funkten|
patient|geduldig|
traded|gehandelt|
enjoy|genieße|
sufficient|genügt|
handle|handhabe|
get married|heiratest|
on this|hierauf|
horizon|horizon|
hats|hüte|
lovable|liebenswert|
reported|mitgeteilt|
passos|passos|
profile|profil|
presenting|präsentiere|
collects|sammelt|
flatter|schmeicheln|
such|solches|
impatience|ungeduld|
verhänge|verhänge|
understandable|verständlich|
manage|verwalte|
come back|wiederkomme|
civilian|zivile|
besiedele|besiedele|
by seeking|durchsuche|
bare|entblöße|
fleshy|fleischig|
planed|gehobelt|
ide|ide|
identified|identifiziere|
manifold|mannigfach|
Mind|mind|
rock|rock|
holiday|urlaub|
homeland|vaterland|
rape|vergewaltige|
beck|beck|
filled|besetze|
along|entlang|
gabriel|gabriel|
return|gegenleistung|
reference|hinweis|
competition|konkurrenz|
loves|liebet|
wage|lohn|
mass|masse|
in the morning|morgens|
change|wandel|
survey|übersicht|
Glasperlenspicl|Glasperlenspicl|
insult|beschimpfe|
Bohemian|Böhme|
Diana|diana|
classed|einstufe|
pile|flor|
florence|florenz|
herzogt|herzogt|
instinct|instinkt|
mathematics|mathematik|
champion|meisterin|
priestess|priesterin|
lock|schloß|
tonkin|tonkin|
unworthy|unwürdig|
spoiled|verdorben|
violet|violet|
argue|argumentiere|
armies|armeen|
pronounced|ausgeprägt|
express|auszudrücken|
observation|beobachtung|
regret|bereust|
christie|christie|
humble|demütiger|
German-speaking|deutschsprachig|
scent|duft|
demon|dämon|
honorably|ehrenvoll|
contained|enthielt|
flutter|flattern|
yap|gekläff|
gerhard|gerhard|
worked|gewirkt|
kneel|knien|
devastating war|kriegsheer|
Monarchies|monarchien|
operational|operativ|
per|pro|
oblique|schräg|
Swede|schwede|
soda|soda|
SPD|SPD|
shoot|spross|
structurally|strukturell|
stumps|stummeln|
Syria|syrien|
swapping|tauschst|
door|tür|
undesirable|unerwünscht|
awkwardness|ungeschicks|
incomprehensible|unverständlich|
unlikely|unwahrscheinlich|
prohibited|verbotenem|
closing|verschließe|
exemplary|vorbildlich|
madness|wahnsinn|
Being|wesens|
competition|wettbewerb|
aversion|widerwille|
economic policy|wirtschaftspolitik|
held|abgehalten|
agency|agency|
applied|angewandt|
log on|anmelden|
Asian|asiatischem|
give up|aufgebe|
compliance|beachtung|
committed|begangen|
Affected by|betreff|
enter|betrete|
respectively|beziehungsweise|
offered|bot|
break|bruch|
bridge|brücke|
thick|dick|
sunken|eingefallen|
arrived|eingetroffen|
took|einnahm|
inhabitants,|einwohnern|
detected|erfasse|
would|ergäbe|
It saves|erspar|
find|finde|
Curses|flüche|
flüchtest|flüchtest|
released|freigelassen|
promoted|gefördert|
against player|gegenspieler|
marked|gekennzeichnet|
mind|gemüt|
smooth|glatt|
grandfather|großvater|
green|grüner|
favorable|günstig|
published|herausgegeben|
industry|industrie|
initials|initials|
cold|kälte|
Leipzig|leipzig|
hole|loch|
London|londoner|
Markum|markum|
measure|maßnahme|
military|militär|
prime minister|ministerpräsident|
story|märchen|
political|politisch|
in reality|realiter|
counting on|rechnest|
reichre|reichre|
respect|respekt|
russell|russell|
strike|schlägst|
sixty|sechzig|
are descended|stammst|
steady|stetig|
Tale|tale|
pond|teich|
trust|traue|
surrounding|umgebe|
event|veranstaltung|
clubs|vereine|
dispose|verfüge|
Fade|vergeh|
destruction|vernichtung|
UNDERSTAND|verständen|
lecture|vortrag|
wiener|wiener|
had|wies|
back|zurückzuführen|
return|zurückzukehren|
anger|ärger|
invaded|überfiel|
survivor|überlebende|
anmerkst|anmerkst|
dramatic|dramatisch|
sensation|empfindung|
received|empfing|
refresh|erfrische|
solemn|feierliche|
mechanically|mechanisch|
distrust|mißtrauen|
mobilize|mobilisiere|
respect|respektiere|
smuggling|schmuggel|
verzauber|verzauber|
present|vorzustellen|
knowing|wissende|
doubtful|zweifelhaft|
prof|prof|
anderson|anderson|
initial sound|anlaut|
applied|aufgetragen|
hopeless|aussichtslos|
exchange|austausch|
begnügst|begnügst|
concerned|betraf|
SATE|bundesstaat|
delegate|delegiere|
endless|endlose|
recorded|erfasst|
extrema|extrema|
fold|falte|
am|freue|
hospitable factor|gastgebend|
served|gedient|
purchased|gekauft|
scholarship|gelehrsamkeit|
gifts|geschenke|
legislative|gesetzgebend|
prevent|hindern|
go|hing|
Yugoslav|jugoslawe|
bold|kühn|
paint|malen|
substantive|materiellem|
music|musiken|
approach|nähern|
counting|rechne|
speaker|redner|
navigable|schiffbar|
end|schluß|
mortal|sterblich|
remove|streichen|
superman|superman|
talents|talente|
drank|trank|
mourning|trauer|
sluggish|träg|
tones|töne|
go under|untergehe|
organizing|veranstalte|
assigned|vergebene|
revealed|verriet|
verwahrst|verwahrst|
, virtues|vorzüge|
watch|wache|
wieviei|wieviei|
Wizards|zauberern|
civilian|zivilist|
promised|zugesagt|
get back|zurückkomme|
hesitation|zögerns|
comment|äußern|
practice|üben|
go on|übergehe|
supernatant|überstand|
supervise|überwache|
noble|adelig|
exceptionally|außergewöhnlich|
bewillige|bewillige|
ended|geendet|
indifferent|gleichgültig|
gods of|göttern|
afterwards|hernach|
kind|liebenswürdig|
justifies|rechtfertige|
reserve|reserviere|
stir|rühren|
indispensable|unentbehrlich|
underestimated|unterschätze|
ancient|uralt|
fall silent|verstumme|
confuse|verwechsele|
advertise|werben|
zertrümmer|zertrümmer|
waste|abfall|
arrangement|anordnung|
train|bahn|
acquisition|erwerb|
chain|kette|
cunning|list|
Massini|massini|
minister|minister|
riddle|rätsel|
salt|salz|
jump|sprung|
residues|stände|
election|wahlen|
tools|werkzeuge|
wild|wild|
expiration|ablauf|
abschere|abschere|
alleus|alleus|
america|america|
application|anwendung|
Arabic|arabischem|
maintain|aufrechterhalten|
just|ausgerechnet|
expand|auszubauen|
compensate|auszugleichen|
apply|beantrage|
Basin|beckens|
treat|behandle|
complain|beklage|
advice|beratung|
very well|bestens|
little|bischen|
break|brich|
define|definiere|
demoralisiere|demoralisiere|
Dared|dürft|
equal|ebenbürtig|
included|eingeschlossen|
registered|eingetragen|
collected|eingezogen|
uniformly|einheitlich|
harmony|einklang|
unanimously|einstimmig|
ANSWER|entgegne|
will learn|erlerne|
acquire|erwerbe|
eternity|ewigkeit|
window|fenster|
volatile|flüchtig|
early time|frühzeit|
approved|gebilligt|
fled|geflohen|
common|gemeine|
traveled|gereist|
device|gerät|
shaping|gestaltung|
waved|gewinkt|
goods|güter|
henrik|henrik|
ongoing for|hinziehe|
industrial|industriell|
staging|inszeniere|
box|kasten|
no|keines|
petty|kleinlich|
military|militärs|
noon|mittag|
murder|mord|
national|nationale|
Decline|Niedergang|
surgeries|praxen|
realize|realisiere|
return|rückgabe|
shy|scheue|
slumber|schlummer|
schweigs|schweigs|
game|spieles|
instead|stattdessen|
stretch|streck|
Symbols|symbole|
sweetness|süßigkeit|
tactics|taktik|
dance|tanze|
theater|theater|
traditions|traditionen|
separate|trenne|
ity|tät|
door|türe|
converted|umgewandelt|
infallible|unfehlbar|
unterbrechet|unterbrechet|
agent|vertreterin|
bird|vogel|
preferred|vorgezogen|
spacious|weitläufig|
wave|welle|
worlds|welten|
west|west|
wundervoii|wundervoii|
was raging|wüte|
ten thousand|zehntausend|
show|zeig|
decay|zerfall|
concession|zugeständnis|
collapsed|zusammenbrach|
composed|zusammensetzt|
zuwandere|zuwandere|
stimulated|angeregt|
occasion|anlass|
look at|anschaust|
Revolts|aufstände|
beendigst|beendigst|
cheers|beifall|
add|beigeben|
confess|bekennst|
complain|beschwerst|
contest|bestreite|
betreust|betreust|
blood|blutes|
flowering|blühende|
brown|braune|
grateful|dankbares|
those|denjenigen|
Dresden|dresden|
by going|durchgehe|
