quizGroup type="WordMapping" promptType="German word" responseType="English word" mainSeparator="|" currentPromptNumber="0" isActive="true"
angehst|approach sex|
asien|Asia|
beweist|proves|
einfall|incidence|
eisen|iron|
erlass|decree|
exempel|example|
faktor|factor|
gewisser|some|
gipfel|summit|
leite|derive|
ohre|tube|
real|real|
ring|ring|
romano|romano|
schiffe|ships|
streite|argue|
theorie|theory|
verbreche|verbreche|
verschiedenst|variously|
wenden|turn|
widerstanden|resisted|
zehntem|tenth|
überfall|attack|
bedachen|roofing|
beschatte|shadowing|
eifersüchtig|jealous|
erfahrene|experienced|
feinem|fine|
fischen|fish|
genehmige|approval|
gewand|garment|
harmon|harmon|
hollis|hollis|
mußten|had|
pilgerin|pilgrim|
schöpfst|schöpfst|
soviei|soviei|
ungarn|Hungary|
unheimlich|scary|
verkörpere|embody|
anwesenheit|presence|
ausbildung|training|
einerseits|on the one hand|
gesund|healthy|
heitere|cheerful|
sicht|view|
verfolgung|tracking|
angesetzt|scheduled|
aspekt|aspect|
aufgelöst|dissolved|
ausgelöst|triggered|
bach|creek|
baum|tree|
behindernd|obstructive|
bucher|bucher|
eingang|input|
ertrage|bear|
gebirg|mountains|
geistlich|spiritual|
gültig|valid|
günstiger|better|
hierher|here|
kaufen|buy|
kleinste|least|
kreise|circuits|
lehrern|teachers|
luxemburg|Luxembourg|
nerv|nerve|
provisorien|temporaries|
resultat|result|
schlank|slim|
schlimmes|bad|
studier|studier|
tapferes|brave|
verfügbar|available|
verschärfst|verschärfst|
vertrages|contract|
vorschlag|proposal|
warm|warm|
zerstöre|Destroy|
einbilde|imagining|
stile|styles|
vorstand|board|
analysiere|analyzed|
auferlege|imposes|
berühmtes|famous|
besessen|possessed|
bewundere|admire|
einleite|einleite|
entschädige|indemnified|
entziehe|deprivation|
ersticke|suffocate|
folglich|therefore|
gelaufe|running about|
genoms|genome|
gepflegt|maintained|
gespült|rinsed|
jetzige|current|
lautern|tern|
maß|measure|
süßend|sweetening|
tuch|cloth|
tyrannei|tyranny|
ungarisch|Hungarian|
vereinzelnd|vereinzelnd|
verfalle|succumb|
zart|tender|
zusammengehen|go together|
überflute|on flute|
jupiter|Jupiter|
nachahmst|imitating|
abermalig|abermalig|
adam|Adam|
albrecht|albrecht|
aufzubauen|build|
bemüh|Strive|
beschluß|decision|
drastisch|drastic|
einzelheft|individual booklet|
erlange|attain|
fette|fat|
gerissen|broken|
hinweg|of time|
kritiken|Reviews|
latein|Latin|
matthew|matthew|
neuestem|recently|
quality|quality|
regiere|govern|
sank|decreased|
schrittweise|gradually|
schwelle|threshold|
senkst|decrease low|
spornt|spurs|
unfähiges|incompetent|
zumal|especially|
aktiviere|activate|
ausgesprochen|pronounced|
beamte|officer|
dienend|serving|
eifrig|eagerly|
gefürchtet|dreaded|
geräumig|spacious|
gesammelt|collected|
preußische|Prussian|
schwie|difficult|
spielerin|player|
unglücklich|unhappy|
unterdeck|under deck|
verknüpfe|linking|
verlängere|renew|
verwüste|devastate|
wanderin|wanderin|
willow|willow|
übergebe|surrender|
übertrage|carry on|
angegriffen|attacked|
angeweht|fanned|
antike|antiquity|
aufnehme|receiving|
bayern|Bavaria|
bedauerst|regret|
bewahr|shall preserve|
billie|billie|
einhalte|einhalte|
einschnitt|incision|
enorm|enormously|
erfreust|make glad|
erschwerst|erschwerst|
erwidere|reply|
flieh|flee|
fremd|foreign|
fünfzig|fifty|
geschäften|transactions|
halbe|half|
händler|dealer|
inhalt|content|
kauft|buys|
kennengelernt|to know|
kirchlich|church|
los|off|
lücke|gap|
pflicht|duty|
region|region|
restlich|remaining|
samt|together with|
sieder|boiler|
sitzt|sitting|
spannungen|voltages|
umfang|scope|
unseres|our|
unweit|not far from|
verfeinde|verfeinde|
version|version|
vorhang|curtain|
wein|wine|
weitergehe|go on|
zusammenlebe|live together|
überreichst|überreichst|
aneinander|together|
chin|chin|
fleisch|meat|
marcia|marcia|
untereinander|each other|
zärtlich|tender|
andeutung|hint|
angehörst|belongest|
angemessen|appropriate|
arbeitsam|industrious|
ausstrahle|radiating|
befragst|second interview|
beleidigst|insult|
bildnis|portrait|
blätter|Sheets|
düstere|dark|
entstelle|misrepresentation|
entwende|entwende|
ermutige|encourage|
forum|forum|
gereift|matured|
geschmack|taste|
grüß|greet|
magie|magic|
nochmals|again|
schenk|gift|
studierende|student|
umriss|outline|
unterrede|by talking|
verbanne|banish|
vergifte|poisoning|
verspüre|feel|
verweile|linger|
vielfältig|varied|
vornehm|posh|
weiterführe|further lead|
überrede|persuasive|
pyramide|pyramid|
statistin|the extras|
tom|tom|
alleine|alone|
ausgebaut|expanded|
basis|base|
besatzes|trimming|
biet|territory|
eingerichtet|set up|
element|element|
erben|inherit|
flieg|fly|
forme|forme|
frühe|Early|
funde|findings|
identität|identity|
karte|map|
kommisses|Come isses|
küste|coast|
online|online|
position|position|
präsident|president|
rauch|smoke|
stamm|strain|
umfasse|covers|
untertan|subject|
wecke|wake|
wien|Vienna|
wälder|forests|
wände|walls|
zeitweise|at times|
überlaß|leave that|
abgenommen|removed|
angestellt|employed|
aufgestellt|placed|
auslegst|auslegst|
außenminister|Secretary of State|
bildhauer|sculptor|
durchschnitt|average|
eingreife|invasive|
eintrete|occurring|
elektrisch|electric|
entsandt|posted|
erstaunst|amaze|
fug|amazon|
gefecht|battle|
geheilt|healed|
gerüche|odors|
herbst|autumn|
hervorrage|more prominent|
hierin|herein|
hilft|help|
hinweise|notes|
ignorierst|ignore|
mark|marrow|
martin|martin|
max|max|
normalem|normal|
passierst|will pass|
paul|paul|
pflegen|maintain|
sachlich|objectively|
schuhe|shoes|
solle|should|
träne|tear|
tscheche|Czech|
tugenden|virtues|
umher|about|
verkleinerns|miniaturizing|
vernichte|annihilate|
verständnis|understanding|
vierzig|forty|
vorübergehe|pass by|
wahrend|while|
warnen|warn|
weisst|know|
zwing|Zwing|
alexanders|alexander|
annektiere|annektiere|
beabsichtige|intend|
benennen|name|
beweglich|mobile|
blockiere|blocking|
bulgarien|Bulgaria|
einteile|one rush|
fleiße|diligence|
gesengt|singed|
gruppiere|regroup|
heiliger|holy|
hofe|hofe|
jedesmal|each time|
kindisch|childish|
lauter|nothing but|
schmecke|taste|
verarmst|impoverishing|
verdammst|condemn|
verhülle|veil|
vernichtern|shredders|
vorwurf|accusation|
zelt|tent|
zubereite|zubereite|
überarbeite|revised|
entwerfe|designing|
hogwarts|hogwarts|
vereitele|frustrates|
beglücke|to gladden|
römern|romans|
weltlich|secular|
würdiger|worthy|
achtung|Attention|
amerikanisch|American|
anfänge|beginnings|
anzeige|display|
aufstehe|get up|
beanspruche|Please claim|
bekräftige|reaffirm|
bescheid|decision|
beschwor|urged|
besichtige|besichtige|
einwanderer|immigrant|
ermuntere|encourage|
evangeliar|Gospel|
feucht|wet|
geachtet|respected|
gelehrt|learned|
glänzendem|shiny|
lateiner|Latin|
opferst|sacrifice|
schmutzig|dirty|
siegreich|victorious|
slawische|Slavic|
teilnahm|participated|
verschlimmere|getting worse|
verse|verse|
vorgang|process|
wahrsagen|tell fortunes|
wetten|bet|
wiederkam|returned|
winzig|tiny|
wunderst|wonder|
anzunehmen|to accept|
aufgebot|banns|
ausgewählt|selected|
bedell|bedell|
belastens|straining|
brot|bread|
Bundesrat|Federal Council|
dasein|existence|
ehrlich|honest|
eifersucht|jealousy|
einfiel|remembered|
einsames|lonely|
entlud|discharged|
entzog|withdrew|
gefüllt|filled|
gemeldet|reported|
gesandt|sent|
gesundheit|health|
hang|slope|
heimisch|home|
hung|increase|
inseln|islands|
kategorie|category|
kopie|copy|
käm|FIGHTING!|
kürze|brevity|
lokale|local|
lustig|funny|
material|material|
möglicherem|möglicherem|
offizier|officer|
philosophin|Philosopher|
pott|pot|
psychisch|psychologically|
revolutionär|revolutionary|
sendung|mission|
silber|silver|
theologe|theologian|
töchter|daughters|
versailler|versailles|
versöhnst|versöhnst|
vorderem|front|
vorschrift|regulation|
widmest|dedicate|
wolke|cloud|
wurzeln|root|
überliest|read on|
andererseits|on the other hand|
aufbau|construction|
aufzustellen|set up|
ausgang|output|
ausgerichtet|aligned|
autor|author|
bar|cash|
bittest|ask|
dienste|services|
drehe|turn|
ergreif|Seize|
erhält|receives|
erlaubnis|permission|
falsch|wrong|
festgestellt|found|
gesichert|secured|
gesunken|decreased|
guns|Guns|
handle|handle|
hohes|high|
nationen|nations|
netz|network|
opposition|opposition|
regime|regime|
robe|robe|
roland|roland|
schild|sign|
seuche|epidemic|
vermied|avoided|
vorgetragen|presented|
woh|woh|
zeitpunkt|time|
zugunsten|in favor of|
zumeist|mostly|
abstimme|abstimme|
atmosphäre|atmosphere|
auffordere|auffordere|
aufgeregt|excited|
bestärke|decisively support|
betonst|laying stress|
bezirk|district|
brennendem|burning|
einberufe|convoke|
entledige|discards|
entschulde|entschulde|
fortschritt|progress|
geleimt|glued|
gesims|cornice|
intellektue|intellektue|
konstruktiv|constructive|
lebhaft|lively|
lichten|clear|
pferden|horses|
pflege|care|
schlafes|schlafes|
unbedeutend|insignificant|
unerfahren|inexperienced|
vernünftig|reasonable|
verschleppe|was delaying|
vorrechne|vorrechne|
gesichts|facial|
verwöhne|spoil|
ängstlich|anxious|
Bundesrepublik|Federal Republic of|
ehrwürden|reverend|
abgeschnitten|cut off|
abschließe|concluding|
abwesend|absent|
aufgetan|opened|
aufkomme|aufkomme|
auswirkst|auswirkst|
barbar|barbarian|
bauer|farmer|
beachtest|will notice|
bekäme|would get|
belebst|belebst|
bindung|binding|
brannte|burned|
doppelt|twice|
dreimai|dreimai|
einigermaßen|somewhat|
einverstanden|agreed|
einziehe|Feeding|
ernährst|nourish|
faszinierst|faszinierst|
festzustellen|determine|
frankreichs|france|
garantierst|warrant|
geistig|mentally|
gerettet|saved|
gesteckt|put|
gewidmet|dedicated|
hindurch|through|
interessen|interests|
kindheit|childhood|
klagen|complain|
kommentare|comments|
lektüre|reading|
liefern|provide|
melden|report|
menschheit|humanity|
mitleid|compassion|
nachfolgerin|legal successor|
nachweise|proofs|
phantasie|imagination|
platte|plate|
prägst|forge it|
schultern|shoulder|
sen|sen|
senden|send|
spanische|Spanish|
trinke|drink|
verabscheust|abhor|
verbirg|hide|
voneinander|of each other|
vorfahr|ancestor|
wehrt|wards|
westlb|westlb|
wink|hint|
witzig|funny|
künstlers|artist|
wohlwollen|goodwill|
anzeigst|anzeigst|
arthur|arthur|
barbarin|Barbarin|
beugen|bend|
bezeugst|testify|
danke|Thank you|
dichtern|compressors|
dumbledore|dumbledore|
einmischen|interfere|
erdrücke|smother|
erschrecket|troubled|
gerast|raced|
heidnische|Pagan|
jüdisch|Jewish|
kombiniere|combine|
konstruiere|construct|
liebevolle|loving|
mehrzahl|majority|
passende|appropriate|
regie|direction|
repräsentiere|representative|
spielten|played|
strömst|flow for|
stören|disturb|
tücher|Cloths|
ungeheure|tremendous|
variiere|varying|
verhielt|behaved|
vorgesetzt|set before|
vorstoss|advance|
warnte|warned|
weißt|know|
willkürlich|arbitrarily|
zeichne|draw|
zurückgehe|go back|
begabung|talent|
unsichtbar|invisible|
weibe|wife|
abgesehen|Apart|
aktiv|active|
arbeiter|worker|
aufbaue|builds up|
ausgeschlossen|impossible|
ausweg|way out|
bewohner|resident|
blind|blind|
chaos|chaos|
eingeschlagen|taken|
erlosch|went out|
feindschaft|hostility|
hall|hall|
mittelalterliche|medieval|
nebeneinander|side by side|
nikolaus|Nicholas|
plätze|places|
polizei|police|
schnee|snow|
vielzahl|multiplicity|
wen|who|
wohlst|wohlst|
zufolge|according to|
abgesagt|off|
ach|oh|
alleinig|solely|
anregst|anregst|
aufrichte|straighten up|
bedingst|bedingst|
breit|wide|
brenne|burn|
dame|lady|
daneben|in addition|
deckst|banquet for|
dreißig|thirty|
dringen|penetrate|
durchsicht|inspection|
einweihe|einweihe|
empfohlen|recommended|
ethnien|ethnics|
gedächtnis|memory|
gekrönt|crowned|
gelinge|successful|
gelingst|gelingst|
gestört|disturbed|
halte|think|
harmonisch|harmoniously|
heftiges|violent|
helle|bright|
hinata|hinata|
hinnehme|hinnehme|
innerlich|internal|
irgendwelche|any|
james|james|
konzentrat|concentrate|
kopierst|copying|
medizinisch|medical|
nachte|nights|
parallel|parallel|
sachsen|Saxony|
sang|singing|
schilderst|describe to|
sebastian|sebastian|
sowjetunion|Soviet Union|
spanne|span|
stils|style|
südosten|southeast|
südwein|sweet wine|
themen|topic|
tragöde|tragedian|
treppab|downstairs|
triff|Meet|
umstand|circumstance|
unterbreche|interrupt|
verbraucht|consumed|
verehre|worship|
verfiel|fell|
verschaffst|verschaffst|
versprach|promised|
verstümmele|maim|
verwehre|repudiate|
voran|progress|
vorangegangen|preceding|
vorsitzende|chairman|
weiche|soft|
wittere|scent|
währst|währst|
abbilder|images|
anstrebe|striving|
arrogant|arrogant|
aufteile|also broken|
aufzunehmen|record|
beibehalte|keeping up|
bekriege|bekriege|
brauchbare|useful|
chinese|chinese|
denkbar|conceivable|
durcheile|by rush|
enthüllst|enthüllst|
entschuldigst|excuse|
fernsehe|watch TV|
fluch|curse|
gemessen|measured|
gemäßigt|moderate|
glücklichem|happy|
hinrichte|hinrichte|
hold|hold|
hölzer|woods|
isoliert|isolated|
kostbar|precious|
londo|londo|
mitwirke|mitwirke|
munde|munde|
nachgehe|ENGAGED|
Ostsee|Baltic Sea|
planmäßig|scheduled|
schwedische|Swedish|
schwächst|weakest|
siedlung|settlement|
steif|stiff|
stufen|gradually|
untersagen|prohibit|
unterwürfig|subservient|
verteilst|distribute|
verzierst|decorate|
vorhabe|intend|
waffenstillstand|truce|
wirkungsvoll|effectively|
anfiel|anfiel|
glied|link|
heit|safety|
lausen|delouse|
mazedonien|Macedonia|
nüchtern|sober|
vergänglich|transient|
wimmele|teeming|
venus|Venus|
anerkenne|acknowledge|
angefangen|started|
ausgeglichen|balanced|
ausnutze|exploiting|
bedienen|operate|
beispiele|Examples|
bemerkbar|noticeable|
bereitwillig|readily|
bill|bill|
effektiv|effectively|
eindrucksvoll|impressive|
einschätze|einschätze|
einstellte|stopped|
energisch|energetic|
entfessele|unleash|
fern|remote|
flache|flat|
formale|formal|
gebrannt|burned|
gelula|Gelula|
gewußt|known|
glänze|shine|
gläser|glasses|
graue|gray|
graupe|pearl barley|
ideale|ideal|
kaiserreich|kaiserreich|
kandidat|candidate|
laune|mood|
leistungsfähig|powerful|
liberale|Liberal|
posen|pose|
rumäne|Romanian|
sinnvoll|useful|
sowjetisch|Soviet|
staros|Staros|
stillens|breastfeeding|
traust|Dare|
träumst|dream|
trümmern|rubble|
unbeliebt|unpopular|
vereint|united|
verschieben|move|
verwandter|related|
vorbehalt|reservation|
wiedersah|saw again|
zuverlässig|reliable|
üble|bad|
hierarchie|hierarchy|
dünne|thin|
einordne|would classify|
erleuchte|enlighten|
festlich|festive|
fromm|pious|
hingabe|dedication|
plündere|plunder|
sinnlich|sensual|
strahlend|bright|
unerträglich|intolerable|
vergnügst|amuse|
abwegs|abwegs|
alpen|Alps|
anhänger|trailer|
anzuerkennen|recognize|
ausübst|ausübst|
bekannter|known|
beratene|advised|
bestandteil|component|
bote|messenger|
christoph|christoph|
derzeitigem|to current|
ecke|corner|
englisch|English|
entsetzt|appalled|
fahren|go|
ferdinand|ferdinand|
ferien|holiday|
fliegend|flying|
flug|flight|
frühjahr|spring|
föderation|federation|
gegenstand|subject|
gewandt|turned|
gärte|fermented|
Hauptartikel|Main article|
heft|issue|
helfend|helping|
hitler|Hitler|
kiel|keel|
komödie|comedy|
konkret|concrete|
kriegsende|end of the war|
kummer|grief|
köln|Cologne|
küche|kitchen|
last|load|
militärisch|military|
mäßig|moderately|
nahen|close|
notwendigem|a necessary|
oftmalig|often been|
passiere|passing|
pferdes|horse|
populär|popular|
proteste|protests|
rache|revenge|
schlag|shock|
seelen|souls|
stab|staff|
strike|strike|
summe|sum|
verdacht|suspicion|
versag|ISA|
verwandle|transform|
viktor|viktor|
vorherig|previous|
väter|fathers|
wahrgenommen|perceived|
wärm|wärm|
zeitgenössisch|contemporary|
zeitlich|temporal|
zurückliege|lie back|
überfälle|raids|
übernimm|take over|
übernommen|taken|
armut|poverty|
ausgehst|going out|
blau|blue|
burg|castle|
dänemark|Denmark|
enkel|grandson|
erfahrungen|experience|
ermordung|murder|
gegnern|opponents of|
geschwindigkeit|speed|
hab|have|
konkurrent|competitor|
nunmal|nunmal|
paare|pairs|
parlament|parliament|
press|press|
schwerpunkt|center of gravity|
strom|current|
versetz|Handle is|
verwendung|use|
zielt|aims|
herkules|Hercules|
begierde|desire|
engagiere|committed|
gelehrter|learned|
organisch|organic|
potenziell|potentially|
verleide|verleide|
achse|axis|
ahnt|suspects|
aussuche|aussuche|
aussöhne|aussöhne|
diensten|services|
einerlei|all the same|
eingeladen|invited|
entsetze|dismayed|
erlaube|permit|
feinst|finely|
frühling|spring|
gedichten|poems|
generell|general|
gewalttat|act of violence|
gleichstelle|assimilates|
hamburg|Hamburg|
hervorgebracht|produced|
krönst|crownest|
lehrreich|instructive|
leuchtendem|bright|
liebhaber|lover|
messen|measure|
nötigend|urging|
offenkundig|obvious|
orientierst|orientierst|
servierst|servierst|
spaß|fun|
tasche|pocket|
tiefstem|bottom|
trügerisch|deceptive|
unterhielt|maintained|
unterlief|underwent|
vorgefühl|anticipation|
vorkomme|vorkomme|
Weimar|Weimar|
williges|willing|
worin|in which|
überschwemmst|überschwemmst|
überwachst|überwachst|
osmanische|Ottoman|
gemälden|paintings|
adel|nobility|
aufrechne|aufrechne|
geschwebt|floated|
lebenslage|living situation|
mittelmäßig|mediocre|
zauber|magic|
abtrete|retiring|
ankunft|arrival|
antraf|encountered|
aufhöre|cease|
auseinander|apart|
auskunft|information|
begrab|bury|
belege|advices|
blatt|leaf|
briefen|Pfandbriefe|
david|David|
demokrat|democrat|
durchbruch|breakthrough|
dänisch|Danish|
eile|hurry|
einblick|insight|
einbruch|burglary|
einnehme|occupy|
eintraf|arrived|
erhöbe|erhöbe|
ersann|devised|
erschaff|the skies|
erweise|legally|
etliche|some|
exil|exile|
expansion|expansion|
festgehalten|held|
gefällst|like you|
geschliffen|polished|
handwerk|craft|
helen|helen|
hergestellt|produced|
hochzeit|wedding|
höherer|higher|
identisch|identical|
instrumente|instruments|
irrt|wrong|
john|John|
kontakt|contact|
königin|queen|
locker|loosely|
munich|munich|
new|new|
perspektive|perspective|
private|private|
produktion|production|
regelt|regulates|
restaurant|Restaurant|
richard|richard|
schnitt|section|
senke|sink|
singe|sing|
stoffe|materials|
tafel|panel|
tisch|table|
toll|great|
trennt|separates|
trochu|Trochu|
unglaube|unbelief|
unverändert|unchanged|
verachtung|contempt|
verbundenem|bandaged|
verdien|earn|
verhandle|negotiate|
vermag|can|
versteck|hiding place|
verwaltung|management|
vision|vision|
weltmeer|sea ​​world|
wem|who|
widerspruch|contradiction|
zitat|quote|
zone|zone|
zügen|trains|
öffentlich|public|
angeben|specify|
anliege|Clip-on|
anwesen|estate|
ausgedehnt|extended|
ausmache|making up|
bediente|served|
beilegen|enclose|
brite|Briton|
bunte|colorful|
entschlief|asleep|
erfreulich|gratifying|
ergebene|devoted|
erich|erich|
erzielst|will achieve|
feststelle|notice|
funkten|radioed|
geduldig|patient|
gehandelt|traded|
genieße|enjoy|
genügt|sufficient|
handhabe|handle|
heiratest|get married|
hierauf|on this|
horizon|horizon|
hüte|hats|
liebenswert|lovable|
mitgeteilt|reported|
passos|passos|
profil|profile|
präsentiere|presenting|
sammelt|collects|
schmeicheln|flatter|
solches|such|
ungeduld|impatience|
verhänge|verhänge|
verständlich|understandable|
verwalte|manage|
wiederkomme|come back|
zivile|civilian|
besiedele|besiedele|
durchsuche|by seeking|
entblöße|bare|
fleischig|fleshy|
gehobelt|planed|
ide|ide|
identifiziere|identified|
mannigfach|manifold|
mind|Mind|
rock|rock|
urlaub|holiday|
vaterland|homeland|
vergewaltige|rape|
beck|beck|
besetze|filled|
entlang|along|
gabriel|gabriel|
gegenleistung|return|
hinweis|reference|
konkurrenz|competition|
liebet|loves|
lohn|wage|
masse|mass|
morgens|in the morning|
wandel|change|
übersicht|survey|
Glasperlenspicl|Glasperlenspicl|
beschimpfe|insult|
Böhme|Bohemian|
diana|Diana|
einstufe|classed|
flor|pile|
florenz|florence|
herzogt|herzogt|
instinkt|instinct|
mathematik|mathematics|
meisterin|champion|
priesterin|priestess|
schloß|lock|
tonkin|tonkin|
unwürdig|unworthy|
verdorben|spoiled|
violet|violet|
argumentiere|argue|
armeen|armies|
ausgeprägt|pronounced|
auszudrücken|express|
beobachtung|observation|
bereust|regret|
christie|christie|
demütiger|humble|
deutschsprachig|German-speaking|
duft|scent|
dämon|demon|
ehrenvoll|honorably|
enthielt|contained|
flattern|flutter|
gekläff|yap|
gerhard|gerhard|
gewirkt|worked|
knien|kneel|
kriegsheer|devastating war|
monarchien|Monarchies|
operativ|operational|
pro|per|
schräg|oblique|
schwede|Swede|
soda|soda|
SPD|SPD|
spross|shoot|
strukturell|structurally|
stummeln|stumps|
syrien|Syria|
tauschst|swapping|
tür|door|
unerwünscht|undesirable|
ungeschicks|awkwardness|
unverständlich|incomprehensible|
unwahrscheinlich|unlikely|
verbotenem|prohibited|
verschließe|closing|
vorbildlich|exemplary|
wahnsinn|madness|
wesens|Being|
wettbewerb|competition|
widerwille|aversion|
wirtschaftspolitik|economic policy|
abgehalten|held|
agency|agency|
angewandt|applied|
anmelden|log on|
asiatischem|Asian|
aufgebe|give up|
beachtung|compliance|
begangen|committed|
betreff|Affected by|
betrete|enter|
beziehungsweise|respectively|
bot|offered|
bruch|break|
brücke|bridge|
dick|thick|
eingefallen|sunken|
eingetroffen|arrived|
einnahm|took|
einwohnern|inhabitants,|
erfasse|detected|
ergäbe|would|
erspar|It saves|
finde|find|
flüche|Curses|
flüchtest|flüchtest|
freigelassen|released|
gefördert|promoted|
gegenspieler|against player|
gekennzeichnet|marked|
gemüt|mind|
glatt|smooth|
großvater|grandfather|
grüner|green|
günstig|favorable|
herausgegeben|published|
industrie|industry|
initials|initials|
kälte|cold|
leipzig|Leipzig|
loch|hole|
londoner|London|
markum|Markum|
maßnahme|measure|
militär|military|
ministerpräsident|prime minister|
märchen|story|
politisch|political|
realiter|in reality|
rechnest|counting on|
reichre|reichre|
respekt|respect|
russell|russell|
schlägst|strike|
sechzig|sixty|
stammst|are descended|
stetig|steady|
tale|Tale|
teich|pond|
traue|trust|
umgebe|surrounding|
veranstaltung|event|
vereine|clubs|
verfüge|dispose|
vergeh|Fade|
vernichtung|destruction|
verständen|UNDERSTAND|
vortrag|lecture|
wiener|wiener|
wies|had|
zurückzuführen|back|
zurückzukehren|return|
ärger|anger|
überfiel|invaded|
überlebende|survivor|
anmerkst|anmerkst|
dramatisch|dramatic|
empfindung|sensation|
empfing|received|
erfrische|refresh|
feierliche|solemn|
mechanisch|mechanically|
mißtrauen|distrust|
mobilisiere|mobilize|
respektiere|respect|
schmuggel|smuggling|
verzauber|verzauber|
vorzustellen|present|
wissende|knowing|
zweifelhaft|doubtful|
prof|prof|
anderson|anderson|
anlaut|initial sound|
aufgetragen|applied|
aussichtslos|hopeless|
austausch|exchange|
begnügst|begnügst|
betraf|concerned|
bundesstaat|SATE|
delegiere|delegate|
endlose|endless|
erfasst|recorded|
extrema|extrema|
falte|fold|
freue|am|
gastgebend|hospitable factor|
gedient|served|
gekauft|purchased|
gelehrsamkeit|scholarship|
geschenke|gifts|
gesetzgebend|legislative|
hindern|prevent|
hing|go|
jugoslawe|Yugoslav|
kühn|bold|
malen|paint|
materiellem|substantive|
musiken|music|
nähern|approach|
rechne|counting|
redner|speaker|
schiffbar|navigable|
schluß|end|
sterblich|mortal|
streichen|remove|
superman|superman|
talente|talents|
trank|drank|
trauer|mourning|
träg|sluggish|
töne|tones|
untergehe|go under|
veranstalte|organizing|
vergebene|assigned|
verriet|revealed|
verwahrst|verwahrst|
vorzüge|, virtues|
wache|watch|
wieviei|wieviei|
zauberern|Wizards|
zivilist|civilian|
zugesagt|promised|
zurückkomme|get back|
zögerns|hesitation|
äußern|comment|
üben|practice|
übergehe|go on|
überstand|supernatant|
überwache|supervise|
adelig|noble|
außergewöhnlich|exceptionally|
bewillige|bewillige|
geendet|ended|
gleichgültig|indifferent|
göttern|gods of|
hernach|afterwards|
liebenswürdig|kind|
rechtfertige|justifies|
reserviere|reserve|
rühren|stir|
unentbehrlich|indispensable|
unterschätze|underestimated|
uralt|ancient|
verstumme|fall silent|
verwechsele|confuse|
werben|advertise|
zertrümmer|zertrümmer|
abfall|waste|
anordnung|arrangement|
bahn|train|
erwerb|acquisition|
kette|chain|
list|cunning|
massini|Massini|
minister|minister|
rätsel|riddle|
salz|salt|
sprung|jump|
stände|residues|
wahlen|election|
werkzeuge|tools|
wild|wild|
ablauf|expiration|
abschere|abschere|
alleus|alleus|
america|america|
anwendung|application|
arabischem|Arabic|
aufrechterhalten|maintain|
ausgerechnet|just|
auszubauen|expand|
auszugleichen|compensate|
beantrage|apply|
beckens|Basin|
behandle|treat|
beklage|complain|
beratung|advice|
bestens|very well|
bischen|little|
brich|break|
definiere|define|
demoralisiere|demoralisiere|
dürft|Dared|
ebenbürtig|equal|
eingeschlossen|included|
eingetragen|registered|
eingezogen|collected|
einheitlich|uniformly|
einklang|harmony|
einstimmig|unanimously|
entgegne|ANSWER|
erlerne|will learn|
erwerbe|acquire|
ewigkeit|eternity|
fenster|window|
flüchtig|volatile|
frühzeit|early time|
gebilligt|approved|
geflohen|fled|
gemeine|common|
gereist|traveled|
gerät|device|
gestaltung|shaping|
gewinkt|waved|
güter|goods|
henrik|henrik|
hinziehe|ongoing for|
industriell|industrial|
inszeniere|staging|
kasten|box|
keines|no|
kleinlich|petty|
militärs|military|
mittag|noon|
mord|murder|
nationale|national|
Niedergang|Decline|
praxen|surgeries|
realisiere|realize|
rückgabe|return|
scheue|shy|
schlummer|slumber|
schweigs|schweigs|
spieles|game|
stattdessen|instead|
streck|stretch|
symbole|Symbols|
süßigkeit|sweetness|
taktik|tactics|
tanze|dance|
theater|theater|
traditionen|traditions|
trenne|separate|
tät|ity|
türe|door|
umgewandelt|converted|
unfehlbar|infallible|
unterbrechet|unterbrechet|
vertreterin|agent|
vogel|bird|
vorgezogen|preferred|
weitläufig|spacious|
welle|wave|
welten|worlds|
west|west|
wundervoii|wundervoii|
wüte|was raging|
zehntausend|ten thousand|
zeig|show|
zerfall|decay|
zugeständnis|concession|
zusammenbrach|collapsed|
zusammensetzt|composed|
zuwandere|zuwandere|
angeregt|stimulated|
anlass|occasion|
anschaust|look at|
aufstände|Revolts|
beendigst|beendigst|
beifall|cheers|
beigeben|add|
bekennst|confess|
beschwerst|complain|
bestreite|contest|
betreust|betreust|
blutes|blood|
blühende|flowering|
braune|brown|
dankbares|grateful|
denjenigen|those|
dresden|Dresden|
durchgehe|by going|
dutzend|dozen|
dörfer|villages|
eindrücke|impressions|
eingetreten|occurred|
erhitzer|heater|
ernennst|ernennst|
erreichbar|accessible|
felsen|rock|
festhalle|festhalle|
flüchtling|refugee|
frankfurt|Frankfurt|
gesetzlich|legally|
gestock|gestock|
gewühl|crowd|
glückliches|Happy|
gnade|grace|
grenzenlos|limitless|
häuser|Homes|
inbegriff|quintessence|
inhalten|contents|
konsequent|consistently|
korrupt|corrupt|
malt|paints|
registrierst|registering|
rubels|ruble|
schreckende|deterrent|
schämst|ashamed|
seltenes|rare|
sozialistin|Socialist|
streifst|brush past|
Thüringen|Thuringia|
türke|Turk|
unbestimmt|undetermined|
versorge|Tend to|
vorn|in front|
wach|awake|
wann|when|
zugeteilt|assigned|
zusehen|watch|
öffnung|opening|
heiterkeit|serenity|
ahne|ancestor|
anständig|decent|
befremde|befremde|
befähige|Empower|
