quizGroup type="WordMapping" promptType="English word" responseType="German word" currentPromptNumber="0"
perhaps|vielleicht
agree|stimmst/übereinstimme/zustimmst
differs|abweiche
authorized|befugt/zugelassen
or|bzw
Democrat|demokratin
worn|angehabt/getragen
belt|gürtel/bandes
marriage|heirat
year|jahrgang/jährig
man of letters|literat
looks|schaut
theoretically|theoretisch
depth|tiefe
violation|verstoss
convincing|überzeug/überzeugendem
distinguishing|auszeichne
my|meines
Preheating|vorwärme
marble|marmor/murmel
column|säule/spalte
controlling|kontrolliere
laugh|lachst/gelacht
curiosity|neugier
sword|schwert
Deputy|stellvertreten
claims|sprüche/ansprüche
outbreak|ausbruch
brethren|brüder
miserable|elend
least green|gründest
multiple|mehrfach
shuffle|mischst
positive|positiv
price|preis
fact|tatsache/fakt
countless|zahllos/unzählig
association|verband/assoziation/verein
avoid|vermeide/meiden
related|verwandter/verwandt/bezog
with which|womit
cooperation|mitarbeit/kooperation/zusammenarbeit
dependent|abhängig
bloom|blüte/blühst
restricts|einschränke
currently|gegenwärtig
Read|gelesen
designers|gestaltern
inner|innern
murder|ermorde/ermordung/mord/morden
problem|problematik
fright|schreck
independently|selbstständig/selbständig
corporate|unternehme
enlightening|aufklärst
foreign countries|ausland
contribution|beitrag
occupation|besetzung
thinks|denkt
musical|musikalisch
lived out|ausgelebt
Kill|erledige
the lowest|geringst
June|juni
classical|klassisch
ill|krank/kranker
mix|vermische/mische
displayed|angezeigt/ausgestellt
against page|gegenseite
Principles|grundsätze
helped|half/verhalf
respect|respekt/respektiere/hinsicht/respekts
Comment|kommentiere
artist|künstlers/künstlerin
para diere|paradiere
worse|schlechtere
sale|verkauf
defending|verteidige
all kinds of|allerlei
dissolves|auflöst
press|drückst
enemies|feinde/feinden
business|geschäft
changed|gewechselt/geändert
Conflicts|konflikte
living|lebendem
debris|trümmer/schutts
dispute|streitig/streit
crashes|stürzt
comparison|vergleich
heralds|verkündern
decisive or|entschluß
driven|gefahren
liked|gefiel
thrown|geworfen
guilty|schuldig
wrote about|überschrieb
moving|bewegend/beweg
ultimately|letztlich
diversity|vielfalt
access|zugang/zugriff/zutritt
sitting|sitzend/sitzt
to see|anzusehen
lead|blei/vorsprung
thickness|dicke
restricted|eingeschränkt
unsuccessful|erfolglos
experiences|erlebnisse
are generating|erzeugst
happy|gefreut/froh/glücklichem
warned|gewarnt/warnte
toolbar provides|gewährleiste
conservative|konservativ
concentrate|konzentrat/konzentrierst
Lion|löwe
horse|pferd/pferdes
philosophy|philosophie
produce|hervorzubringen/herzustellen/produziere
accident|unfall/unglück
virtue|vermöge/tugend
awe|ehrfurcht
young|junger/jung
distinguished|vornehmes
neck|hals/nacken
up|aufwärts/empor/herauf/aufgebaut
Items|gegenstände
criticism|kritik
in heat|läufig
chic|schicker/schick
suggest|schlage
proceed|vorgehen
economy|wirtschaft
cite|anführe/zitierst
attach|befestige
raise|aufzubringen/erhöhst/erhebe
murdering|ermordens
swept|gefegt/gekehrt
Kann|kanns
rental|verleihs
disprove|widerlege
together with|samt/nebst
evidence|beweis
permanent|dauerhaft
demonstrate|demonstriere
fidget|drängle
Historic|historik
hat|hut
peak|höhepunkt
unfortunately|leider
monk|mönch
spatial|räum
sovereign|souverän
lives|wohnt
overlook|übersehe
extraordinarily|außerordentlich
instruct|instruiere/beauftrage
relieve|entlaste
merry|munteres/munter/fröhlich
interested in|interessierst
left|übrig/übriggeblieben/links
Touch|berühr
prey|beute
ideas|ideen
plans|pläne/plant
estimates|schätzt/schätzungen
aims|zielt/strebt
handling|umgang
select|auserwählt/wähle
go out|herausgehe/hinausgehe/ausgehen
construction|bau/aufbau
doubt|zweifeln/zweifelst/bezweifele/zweifle
prince|fürsten/fürst
Gentlemen|herren
inside|innen/hinein
imperial|kaiserlich
wall|mauer
metal|metall
national|nationalem/nationale
sacrifice|opfern/opferst
test|testen/prüfung
purely|rein
swarm|schwarm
looking for|suchst
publishing|verlegens/verlege
more important|wichtigere
risest|aufgehst
went|begab
educate|erziehn/erziehe
built|gebaut/bauten
persistent|beharrlich/hartnäckig
hang|hängen
desire|lust/begierde/begehrst
obscures|verdecke
marry|verheirate
worldwide|weltweit
assail|bestürme
antlers|geweih
Auss|auß
orders of|bestellst
citizen|bürger
dominating|dominierst
environment|umgebung/gebung
solved|gelöst
bitter|bittere/herbem
hungry|hungernd
pretty|schmucke/hübsch/hübsches
after all|immerhin
boarding|internaten
lying|liegend
useful|brauchbare/nützlich/sinnvoll
ear|ohr
philosopher|philosoph
wonderful|wunderbares/wunderbar/herrlich
treatise|abhandlung
exploration for|aufsuche
foreign policy|außenpolitik
leg|bein
accelerating|beschleunige
one|eins
insight|einblick/einsicht
distance|abstand/distanz/ferne
common|gemein/gemeine
subscribed|gezeichnet
thoroughly|gründlich
criticize|kritisiere
method|methode
flow|fluß/münden
pure|reine/reinem
activity|tätigkeit/aktivität
waiver|verzicht/verzichtes
to hasten|übereile
rejected|gewiesen/abgewiesen/zurückgewiesen/abgelehnt
one and a half|anderthalb
thanking|dankst
native|einheimisch
result|ergebnis/resultat
acquired|erworben
field|feld
protected|geschützt/beschützt
decade|jahrzehnt
decades|jahrzehntelang/jahrzehnten
declines|rückgänge/lehnt
provinces|provinzen
reaction|reaktion
Sheep|schafe
in writing|schriftlich
loyalty|loyalität/treue
effective|wirksames/wirksam
all too|allzu
implied|stillschweige/angedeutet
of course|selbstverständlich/freilich
authoritarian|autoritär
interpret|interpretiere/deute/auslege
grave|grab
candlestick|leuchter
unpleasant|unangenehm
signed|unterschrieb
compose|komponiere/verfasse
Forgetting|vergessend
compared|verglich
perform|durchzuführen/verrichten
provisionally|vorläufig
showcase|vorzeige
warsaw|warschau
check|prüfen/überprüfe
lays down|festlege/aufstelle
pursuing|betreibe
inhabit|bewohnst
urge|drang
ready|fertig
fill|füllst
redound|gereiche
entire|gesamtem
religious|religiös/gläubig
obtained|holt
invite|einzuladen/laden
powerful|mächtiges/leistungsfähig
in principle|grunds/prinzipiell
live|wohne/lebe/wohnen
excesses|überflüsse
took|einnahm/übernahm
ages|altert
offer|anzubieten/angebot
accepted|annahm/hingenommen
Arab|araber
given up|aufgegeben
favoring|begünstige
compute|berechne
taping|bewick
establishing itself|etabliere
course|kurs/gang
yesterday|gestern
stove|herd
interesting|interessant/interessantes
clan|klan
forces|kräften/streitkräfte
Ministries|ministerien
kick|trete
Circumvent|umgehe
regardless|ungeachtet
uncertain|ungewiß/ungewiss/unsicher
entertainment|unterhaltung
sweet|süß/lieblich
associations|bände
facility|einrichtung
contains|enthält
invention|erfindung
summarize|fasse/zusammenfasse
left behind|hinterliess/zurückgelassen
knee|knie
conflict|konflikt
in the middle|mitten
toil|mühsal
organization|organisation
Eastern Europe|osteuropa
strength|stärke
subject|untertan/unterworfen/unterlag/gegenstand
burnt|verbrannt
perceive|wahrzunehmen/wahrnehme
threw|warf
humanities|geistes
reprimanded|gerügt
seventh|siebt/siebent
sound|klingen/ton
about rage|überrage
beard|bart
eliminate|beseitigen
trees|bäume
faxed|gefaxt
Create|gestalte
hot|heiß/heißer/heiße
cultural|kulturelle
mouth|mund
longing|sehnst/sehnend
social|soziale/sozialem
controversial|umstritten
compare|vergleichst/vergleiche
scientific|wissenschaftliche/wissenschaftlich
withdrawn|zurückgezogen/zurückgenommen
yolk|eigelb
museums|museen
private|privatem/privat
invest|anlegen
spending|ausgab
Flew|flog
bulk|hauptteil/großteil
any|jegliche/etwaige/irgendwelche
solve|lösen
do not lie|lüg
rain|regen
fame|ruhm
dips|taucht/einbrüche
verbs|verben
pronounced|ausgeprägt/ausgesprochen/aussprach
by lead|durchführe
furrowed|furchig
travels|reist
conversely|umgekehrt
Duplicate|verdoppele
occurred|vollzog/vorgekommen/zugetragen/aufgetreten/eingetreten
wander|wanderst/wandere
listening|zuhörens
for example|beispielsweise
letters|buchstaben/briefe
recovered|erholt
europe|europas
tested|geprüft
weakened|geschwächt
for lack of|mangels
mass|maße/masse
employee|mitarbeiter
descendant|nachkomme/nachfahre
uses|nutzt
period|periode/frist
the edge|rande
security|sicherheit
fatal|fatale/tödlich/verhängnisvoll
incapable|unfähig
promise|versprech/versprecht
been|zuge
context|kontext/zusammenhang
befriend|befreunde/anfreunden
troubled|erschrecket/beunruhige
cardiac|kardial
magician|zauberer
ore|erz
aware|bewußt/bewusst
astonished|erstaune
childlike|kindlich
take delight|vergnüge
assume|annehme
species|arten
brutal|brutale
relax|entspannst
wake up|wacht/erwache/erwachst
prayer|gebet
communities|gemeinden
shine|strahle/glanz/glänze
institute|institut
food|fraß/nahrung/lebensmittel
post|posten
wealth|schätze
markswoman|schützin
studying|studierst
displacing|verdränge
sold|verkauft
slowed|verlang
tear-stained|verweint
attacking|angreife
Dusseldorf|düsseldorf
inclusive|inklusion/einschließe/einbeziehe
was found|erwies
flame|flamme
balance|gleichgewicht
foundation|gründung/fundament/stiftung
nowhere|nirgends
edge|rand
moves|rückt
closes|schließt
traffic|verkehr
contracts|verträge
requires|erfordere/voraussetzt
acquiring|übernehm
receive|empfange
shepherd|schäfer/hirt/hirten
krakow|krakau
been able|vermocht
world history|weltgeschichte
delicate|zierlich/zartere
closely|eng
flowed|fließe
in demand|gefragt
concentrated|konzentrier
sharp|scharfe/scharf
growing|wachsendem
reject|abzulehnen/zurückweise/ablehnst/ablehne
completion|abschluß
actuary|aktuar
entrust|anvertraue
rob|rauben/beraubst
well|brunnen
double|doppelte
entries|einträge/eintrage
placid|gelassenem
spared|geschont
goddess|göttin
duke|herzog
connections|schlüsse
swan|schwanes/schwan
visibly|sichtlich
silver|silber/silbern
penalty|strafe
seduce|verführst/verführe
deteriorating|verschlechtere
inwoven|eingewebt
becomes ill|erkranke
Renew|erneuere
predict|vorhersagen/prophezeie
tragic|tragisch
worthy|würdiger/würdig
occurs|auftritt
bid|gebot
handles|griffe
beyond|jenseits
art world|kunstwelt
fast|schnelle/geschwind
sweat|schweiss
weakness|schwäche
symbolism|symbolik
animal|tier/tierisch
spread|verbreite/ausgebreitet/auszubreiten
decay|verfall/zerfall
ventures|wagt
contradicts|widerspreche
purpose|zweck
wood|holz
recognized|anerkannt
seizure|beschlagnahme
abduct|entführst
apparent|ergebe
fertile|fruchtbare
adds|fügt
believed|geglaubt
divide|gliedern
care|pflege/kümmern/sorgfalt
afternoon|nachmittag
properly|ordentlich
round|runde/runder
tea|tee
woe|weh
designation|bezeichnung
sublime|erhabenes/erhaben
fronts|fronten
are going|fährst
deity|gottheit
march|marschierst/marsch
novels|romane
met|trafen/traf/zusammengetreten
gather|versammle
freeze|erstarre
get to know|kennenlerne
sight|anblick
find me|auffinde
again|aufs/nochmals
spreading|ausbreite
excellent|ausgezeichnet/vortrefflich/vorzügliche
away team|auswärtig
flower|blume
flights|flüge
Frenchman|franzos
amidst|inmitten
correct|korrektes/korrigiere
physically|körperlich
morality|moral
wrestle|ringen
Seline|seltne
Spann|spanns
extensive|umfangreichem
immortal|unsterblich
subordinate|unterordne/untergeben
with draw|unterzeichnest
rattle|verunsichere
commit|verüben/begehst
WOULD|wirke
wealthy|wohlhabend
completed|fertiggestellt/abgeschlossen
announced|angesagt/angekündigt
architecture|architektur
ceiling|decke
odor|geruch
team|gespann/mannschaft
climate|klima
feature|merkmal
policies|politiken
summer|sommer
noticeable|bemerkbar/spürbar
rage|wut
soon|alsbald/schnellst
monument|denkmal
ambition|ehrgeiz
dress up|verkleide
spill|verschütte
have been|aufgehabt
build|aufzubauen/bauen
clearly|eindeutig
penetrate|dringen/durchdringe/einzudringen/eindringe
sensitive|empfindlichem/empfindsam/feinfühlig/sensibel/sensible
separated|getrennt
strong|kräftiger/kräftig
Moon|mond
morally|moralisch
obviously|offensichtlich
stale|schal
drama|schauspiel
mold|schimmels
Infiltrator|spitzels
crosstalk|sprechens
immobile|unbeweglich
curse|fluch/verwünsche/verfluche
exaggerated|übertrieb
exercises|übt
institution|anstalt
drives|treibt
clock|uhr
made|vorgenommen/unternommen/gefertigt/getroffen/angefertigt
throw|wirfst/werf
journal|zeitschrift
crosswise|quer
for which|wofür
compartment|abteils
silliest|alberst
specification|angabe
compensation|ausgleich
demand|bedarf/nachfrage
discussion|diskussion
carried out|durchgeführt
abundance|fülle
give|schenken/geb/gebe
grab|greife
fundamental|fundamentale/grundlegend
port|hafen
pants|hose
bend|kehre/beugen
regions|regionen
residual|rest/rückständigem
weaker|schwächer
since|seitdem
technology|technik
typical|typisch
restless|unruhig/unruh/rastlos
ahead|voraus
past|vorüber/vorbei
allegations|vorwürfe
remote|abgelegen/fern/entlegen
stay|aufenthalt
performers|aufführe
vault|gewölbe
tired|müd
Persian|persisch/perser
aggressive|aggressiv
announcing|ankündige
listed|gelistet/aufgeführt
Reject|ausscheide
extend it|ausweite
qualifying|qualifiziere/berechtige
least prepared|bereitens
Punisher|bestrafer
causest|bewirkst
bind|binden
incense|erbittern
specifically give|erteilst
sliced|geschnitten
Indian|indisch
integral|integriere
commercially|kommerziell
concept|konzept
benefit|zugute/profitiere
agree that|räumst
includes|umfasst
original|originell/ursprünglichem/originale
area code|vorwahl
Offices|ämter
about doing|übermache
overcome|überwinde/überwunden
bury|vergrabe/beerdige/begrab
awaken|erweckst/aufwecke
fingered|fingerig
individually|einzeln/individuell
monastery|klosters/kloster
Skidding|rücke
incomprehensible|unverständlich/unbegreiflich
person assessed|veranlage
to the|ans
astronomer|astronom
Liberation|befrei
threat|drohende
level|niveau/ebene
heritage|erbe
this|hierfür/hierzu/hierbei
writes|schreibt
Die|stirb
bump|stoße
scene|szene
unclear|unklar/unklares
merits|verdienste
prejudice|vorurteil
birds|vögel
collapse|zusammenbruch
holds together|zusammenhält
additional|zusätzliche
in the evening|abends
adventure|abenteuer
event|ereignis/veranstaltung
largest|größter
heat|hitze
lifted|hob
succession|nachfolge
stature|statur
stitch|stich
quarter|viertel
increasing|zunehmendem
departure|aufbruch/abreise/abgang
aging|alterns
break|pause/bruch/brechen/brich/brecht
functioning|funktioniere
healthy|gesunder/gesund/gesunde
risky|gewagt
habit|gewohnheit
would|möchten/stünde/würdest/ergäbe
tank|panzer
phenomenon|phänomen
abundant|reichlich
rescuers|rettern
things|sachen
shields|schilde
territories|territorien
shifted|verschob
blurred|verschwamm
apartment|wohnung
absolve|absolviere
impress|beeindrucke
practiced|geübt
colony|kolonie
player|spieler/spielerin
make a date|verabrede
Nutty|verrücke
to stone|versteinere
overpopulate|völkern
dispel|zerstreust
appearance|anschein
lonely|einsam/einsames
erstwhile|einstig
glued|eingeklebt/geklebt/geleimt
same time|gleichsam
sanctify|heiligst
annoying|ärgerlich/lästig
painter|maler
painting|malerei
champion|meisters/meisterin
arrest|verhafte
look hard|anstrengst
apollo|apoll
eyes shining|augenschein
influencing|beeinflusse
would affect|beträfe
blonde|blond
performing|darstelle
will spare|ersparst
desirable|wünschenswert/erwünscht
suffered|gelitten/litt
confessed|geständig
grant to|gewährst
hardness|härte
for years|jahrelang
comb|kamm
expert|fachmann/kenner/experte
manager|leiter
oceans|meeren
rank|rang
reforms|reformen
collect|sammeln
regulations|schriften
since then|seither
patrol|streife
division|teilung
trends|tenden
thesis|doktorarbeit/these
unfair|ungerecht
spent|verbracht
forgot|vergaß/vergass
suspect|vermute
be content|vorlieb
sway|waltend
newspaper|zeitung
approach sex|angehst
Asia|asien
proves|beweist
incidence|einfall
iron|eisern/eisen
decree|erlass
example|exempel
factor|faktor
summit|gipfel
derive|leite
tube|ohre/röhre
ships|schiffe
argue|streite/argumentiere
theory|theorie
variously|verschiedenst
turn|wendung/abbiegen/wenden/drehe
resisted|widerstanden/gewehrt
tenth|zehntem/zehnte
roofing|bedachen
shadowing|beschatte
jealous|neidisch/eifersüchtig
experienced|erfahrene
fine|feine/fein/feinem
fish|angeln/fisch/fischen
approval|genehmige
garment|kleidungsstück/gewand
pilgrim|pilgerin/pilger
Hungary|ungarn
scary|unheimlich
embody|verkörpere
training|ausbildung
on the one hand|einerseits
cheerful|heitern/heitere
tracking|verfolgung
scheduled|planmäßig/angesetzt
aspect|aspekt
dissolved|aufgelöst
triggered|ausgelöst
creek|bach
tree|baum
obstructive|behindernd
input|eingang
bear|ertrage
spiritual|geistlich
valid|gültig
here|hie/hierher
buy|kaufen
least|kleinste
circuits|kreise
teachers|lehrern
Luxembourg|luxemburg
nerve|nerv
temporaries|provisorien
slim|schlank
bad|üble/arg/schlimmes
brave|tapfern/mutig/tapfer/tapferes
proposal|vorschlag
Destroy|zerstöre
imagining|einbilde
styles|stile
board|vorstand
analyzed|analysiere
imposes|auferlege
possessed|besessen
indemnified|entschädige
deprivation|entziehe
suffocate|ersticke
running about|gelaufe
genome|genoms
maintained|gepflegt/unterhielt/gewahrt
rinsed|gespült
current|jetzige/strom
tern|lautern
measure|maß/maßnahme/messen
sweetening|süßend
cloth|tuch
tyranny|tyrannei
Hungarian|ungarisch
succumb|verfalle
tender|zärtlich/zart
go together|zusammengehen
on flute|überflute
imitating|nachahmst
Strive|bemüh
drastic|drastisch
individual booklet|einzelheft
attain|erlange
fat|fette/fett
broken|eingebrochen/aufgebrochen/gebrochene/kaputt/gerissen/ausgebrochen/zerbrochen
of time|hinweg
Reviews|kritiken
Latin|latein/lateiner
govern|regiere
decreased|abnahm/sank/gesunken
threshold|schwelle
decrease low|senkst
spurs|spornt
incompetent|inkompetent/unfähiges
especially|zumal
activate|aktiviere
officer|offizier/beamte
eagerly|eifrig
dreaded|gefürchtet
spacious|geräumig/weitläufig
unhappy|unglücklich/unglückliches
under deck|unterdeck
linking|verknüpfe
devastate|verwüste
surrender|übergebe/kapitulation
carry on|übertrage
attacked|angegriffen
fanned|angeweht
antiquity|antike
receiving|aufnehme
Bavaria|bayern
regret|bedauern/bereust/bedauerst/bereue
shall preserve|bewahr
incision|einschnitt
enormously|enorm/ungeheuer
make glad|erfreust
reply|erwidere
flee|flieh/entfliehe
fifty|fünfzig
transactions|geschäften
dealer|händler
content|inhalt
buys|kauft
to know|kennengelernt
gap|lücke
duty|pflicht
remaining|restlich
boiler|sieder
voltages|spannungen
scope|umfang/umfanges/spielraum
not far from|unweit
curtain|vorhang
wine|wein
go on|weitergehe/übergehe
live together|zusammenlebe
meat|fleisch
hint|wink/andeutung/hauch
belongest|angehörst
appropriate|passende/angemessen/angebracht
industrious|arbeitsam
radiating|ausstrahle
second interview|befragst
insult|beschimpfe/beleidigst
portrait|bildnis/porträt
Sheets|blätter
misrepresentation|entstelle
encourage|ermuntere/ermutige
matured|gereift
taste|geschmack/schmecke
greet|grüß
gift|gabe/geschenk/schenk
outline|umriss
by talking|unterrede
banish|verbanne
poisoning|vergifte
linger|verweile
varied|vielfältig/verschiedenartig
posh|vornehm
further lead|weiterführe
persuasive|überrede
pyramid|pyramide
the extras|statistin
alone|alleine
expanded|ausgebaut
base|basis
trimming|besatzes
territory|biet
set up|einzurichten/eingerichtet/aufzustellen
inherit|erben
fly|fliegst/flieg
Early|frühe
findings|funde
identity|identität
map|landkarte/karte
Come isses|kommisses
coast|küste
president|präsident
smoke|rauch
strain|stamm
covers|umfasse
wake|wecke/gefolge
Vienna|wien
forests|wälder
walls|wände
at times|zeitweise
leave that|überlaß
removed|weggenommen/abgenommen
employed|angestellt
placed|aufgestellt/aufgesetzt
Secretary of State|außenminister
sculptor|bildhauer
average|durchschnittliche/durchschnitt
invasive|eingreife
occurring|eintrete
electric|elektrisch
amaze|erstaunst/verblüffst
amazon|fug
healed|geheilt
odors|gerüche
autumn|herbst
more prominent|hervorrage
herein|hierin
notes|hinweise
ignore|ignorierst
marrow|mark
normal|normale/normalem
will pass|passierst
maintain|aufrechterhalten/pflegen
objectively|objektiv/sachlich
shoes|schuhe
should|solle/solltest
tear|träne/zerreiße
Czech|tscheche/tschechischem
virtues|tugenden
miniaturizing|verkleinerns
annihilate|vernichte
understanding|verständnis
forty|vierzig
pass by|vorbeigehe/vorübergehe
warn|warnen
alexander|alexanders
intend|vorhabe/beabsichtige
name|benennen
mobile|beweglich
blocking|blockiere
Bulgaria|bulgarien
one rush|einteile
diligence|fleiß/fleiße
singed|gesengt
regroup|gruppiere
holy|heilig/heiliger
each time|jedesmal
childish|kindisch
nothing but|lauter
impoverishing|verarmst
condemn|verwerft/verdammst
veil|verhülle/schleier
shredders|vernichtern
accusation|vorwurf
tent|zelt
revised|überarbeite
designing|entwerfe
frustrates|vereitele
to gladden|beglücke
romans|römern
secular|weltlich
Attention|achtung
American|amerikaner/amerikanisch
beginnings|anfänge
display|anzeige
get up|aufstehe
Please claim|beanspruche
reaffirm|bekräftige
urged|beschwor
immigrant|einwanderer
Gospel|evangeliar
wet|feucht/nass
respected|geachtet
shiny|glänzendem
dirty|schmutzig
victorious|siegreich
Slavic|slawische
participated|teilnahm/teilgenommen
getting worse|verschlimmere
process|prozess/vorgang
tell fortunes|wahrsagen
bet|wetten
returned|wiederkam/zurückgab/zurückgegeben
tiny|winzig
wonder|wunderst/wundere
to accept|anzunehmen
banns|aufgebot
selected|ausgewählt/ausgesucht
straining|belastens
bread|brot
Federal Council|Bundesrat
honest|ehrlich/redliches
jealousy|eifersucht
remembered|einfiel/besann
discharged|entlud/ausgestoßen
withdrew|entzog
filled|gefüllt/besetze
reported|mitgeteilt/gemeldet
sent|sandte/gesandt
health|gesundheit
slope|hang
increase|anstieg/hung
islands|inseln
category|kategorie
copy|kopiere/abschrift/kopie
FIGHTING!|käm
brevity|kürze
local|lokale/örtlich
funny|witzig/komisch/lustig
Philosopher|philosophin
pot|pott/topf
psychologically|psychisch
revolutionary|revolutionär
mission|sendung
theologian|theologe
daughters|töchter/töchtern
versailles|versailler
front|vorderste/vorderem
regulation|verordnung/vorschrift
dedicate|widme/widmest
cloud|wolke
root|wurzeln/wurzel
read on|überliest
on the other hand|andererseits
output|ausgang
aligned|ausgerichtet
author|autor/urheber
cash|bar
services|dienste/diensten
Seize|ergreif
receives|erhält
permission|erlaubnis
found|angetroffen/festgestellt/aufgefunden
secured|gesichert
nations|nationen
network|netz
epidemic|seuche
avoided|auswich/gemieden/vermied
in favor of|zugunsten
mostly|zumeist
atmosphere|atmosphäre
excited|aufgeregt
decisively support|bestärke
laying stress|betonst
district|reviers/bezirk
burning|brennendem
convoke|einberufe
discards|entledige
progress|voran/fortschritt
cornice|gesims
constructive|konstruktiv
lively|lebhaft/lebhaftes
horses|pferden
insignificant|unbedeutend
inexperienced|unerfahren
reasonable|vernünftiges/vernünftig
was delaying|verschleppe
facial|gesichts
spoil|verwöhne
anxious|ängstlich
Federal Republic of|Bundesrepublik
reverend|ehrwürden
cut off|abgeschnitten/abgeschlagen
concluding|abschließe
absent|abwesend
opened|aufgetan/angebrochen
barbarian|barbar
farmer|bauer/landwirt
will notice|beachtest
would get|bekäme
binding|bindung
burned|gebrannt/brannte
twice|zweifach/doppelt
somewhat|einigermaßen
Feeding|einziehe
nourish|ernährst
france|frankreichs
warrant|garantierst
mentally|geistig
saved|gerettet
put|gesteckt/stecke
dedicated|gewidmet
through|durchs/hindurch/mittels
interests|interessen
childhood|kindheit
complain|beklage/beklagst/beschwerst/klagst/klagen
comments|kommentare
reading|lesung/lektüre
provide|liefern
humanity|menschheit
compassion|mitgefühl/mitleid
legal successor|nachfolgerin
proofs|nachweise
imagination|phantasie
plate|platte
forge it|prägst
shoulder|schultern
Spanish|spanisch/spanische
drink|trinke/getränk
abhor|verabscheust
of each other|voneinander
ancestor|ahne/vorfahr
wards|wehrt
goodwill|wohlwollen
testify|bezeugst/bezeuge/aussagen
Thank you|danke
compressors|dichtern
interfere|einmischen/stört
smother|erdrücke
raced|gerast
Pagan|heidnische
Jewish|jüdisch
combine|kombinat/kombiniere
construct|konstruiere
loving|liebevolle/liebreich
representative|repräsentiere/repräsentant/repräsentativ
played|spielten
flow for|strömst
disturb|stören
Cloths|tücher
tremendous|ungeheure
varying|variiere
set before|vorgesetzt
advance|vorstoss
arbitrarily|willkürlich
go back|zurückgehe/hintergehe
talent|begabung
invisible|unsichtbar
wife|gemahlin/ehefrau/weibe
Apart|abgesehen
worker|arbeiter
builds up|aufbaue
way out|ausweg
resident|aufhält/bewohner
went out|erlosch
hostility|feindschaft
medieval|mittelalterliche
side by side|nebeneinander
Nicholas|nikolaus
places|plätze
police|polizei
snow|schnee
multiplicity|vielzahl
oh|ach
solely|alleinig
straighten up|aufrichte
wide|weites/breit
burn|verbrenn/verbrennst/brenne
lady|dame
banquet for|deckst
thirty|dreißig
inspection|durchsicht
ethnics|ethnien
memory|andenken/gedächtnis
crowned|gekrönt
successful|gelinge/geglückt
disturbed|gestört
harmoniously|harmonisch
violent|heftiges
bright|leuchtendem/helle/strahlend
copying|kopierst
medical|medizinisch
nights|nachte/nächte
Saxony|sachsen
singing|gesang/sang
describe to|schilderst
Soviet Union|sowjetunion
span|spanne
southeast|südosten
sweet wine|südwein
topic|themen
tragedian|tragöde
downstairs|treppab
Meet|triff
circumstance|umstand
interrupt|unterbreche/unterbrich
consumed|verbraucht
maim|verstümmele
repudiate|verwehre
preceding|vorangegangen
chairman|vorsitzende
soft|softem/weiche/weicher
scent|duft/wittere
images|abbilder
striving|anstrebe
also broken|aufteile
record|aufzunehmen
keeping up|beibehalte
conceivable|vorstellbar/denkbar
by rush|durcheile
excuse|entschuldigst
watch TV|fernsehe
measured|gemessen
moderate|gemäßigt
woods|hölzer
isolated|isoliert/zelte/abgesondert
precious|kostbares/kostbar
ENGAGED|nachgehe
Baltic Sea|Ostsee
Swedish|schwedische
weakest|schwächst
settlement|siedlung
stiff|steif
prohibit|untersagen
subservient|unterwürfig
distribute|verteilst
decorate|verzierst/dekoriere
truce|waffenstillstand
effectively|wirkungsvoll/effektiv
link|glied
safety|heit
delouse|lausen
Macedonia|mazedonien
sober|nüchtern
transient|vergänglich
teeming|wimmele
acknowledge|anerkenne
balanced|ausgeglichen
exploiting|ausnutze
operate|bedienen
Examples|beispiele
readily|bereitwillig
impressive|eindrucksvoll
stopped|einstellte/stehengeblieben
energetic|energisch
unleash|entfessele
flat|platt/flache
formal|formale
glasses|brille/gläser
gray|graue/grau
pearl barley|graupe
ideal|ideale
candidate|kandidat
mood|laune
Liberal|liberale
pose|posen
Romanian|rumäne
Soviet|sowjetisch
breastfeeding|stillens
Dare|traust
rubble|trümmern
unpopular|unbeliebt
united|vereint
reservation|vorbehalt
saw again|wiedersah
reliable|verlässlich/zuverlässig
hierarchy|hierarchie
thin|dünn/dünne
would classify|einordne
enlighten|erleuchte/aufkläre
festive|festlich
pious|fromm
dedication|hingabe
plunder|plündere/erbeutest
sensual|sinnlich
intolerable|unerträglich
amuse|vergnügst
Alps|alpen
trailer|anhänger
advised|beratene/riet/beriet
component|bestandteil
messenger|bote
to current|derzeitigem
corner|ecke
appalled|entsetzt
holiday|urlaub/festtag/ferien
flying|fliegend
flight|flug
spring|frühjahr/federn/frühling
federation|föderation
fermented|gärte
Main article|Hauptartikel
issue|heft
helping|helfend
keel|kiel
comedy|komödie
concrete|konkret
end of the war|kriegsende
grief|kummer
Cologne|köln
kitchen|küche
load|last/belastung
moderately|mäßig
a necessary|notwendigem
often been|oftmalig
passing|passiere
popular|populär
protests|proteste
revenge|rache
shock|stoß/schock/schlag
souls|seelen
sum|summe
suspicion|verdacht
ISA|versag
transform|verwandle
fathers|väter
contemporary|zeitgenössisch/zeitgenosse/zeitgemäß
temporal|zeitlich
lie back|zurückliege
raids|überfälle
take over|übernimm
poverty|armut
going out|ausgehst
castle|burg
Denmark|dänemark
grandson|enkel
opponents of|gegnern
speed|geschwindigkeit
competitor|konkurrent
pairs|paare
parliament|parlament
center of gravity|schwerpunkt
Handle is|versetz
Hercules|herkules
committed|engagiere/begangen
organic|organisch
potentially|potentiell/potenziell
axis|achse
suspects|ahnt
all the same|einerlei
invited|eingeladen/einlud/lud
